architecture,metric,n_paired_images,baseline_mean,curriculum_mean,mean_paired_difference,ci_lower,ci_upper,wilcoxon_statistic,p_unadjusted,p_holm_within_metric
U-Net,IoU,281,0.606555,0.634031,0.027475,0.019320,0.035162,10117.0,2.116263e-12,4.232525e-12
U-Net,Dice,281,0.741148,0.764753,0.023605,0.016468,0.030624,10194.0,3.166892e-12,6.333785e-12
U-Net,Object_F1,281,0.781585,0.816832,0.035248,0.022439,0.047548,10953.0,6.705925e-08,1.341185e-07
U-Net,Count_MAE,281,2.498221,2.238434,-0.259786,-0.419929,-0.088968,14105.5,1.957327e-02,5.815857e-02
U-Net++,IoU,281,0.644454,0.669430,0.024975,0.017900,0.032189,9618.0,1.439026e-13,4.317079e-13
U-Net++,Dice,281,0.773237,0.792616,0.019379,0.013639,0.025170,9652.0,1.735537e-13,5.206612e-13
U-Net++,Object_F1,281,0.802967,0.840948,0.037980,0.025549,0.050674,10445.0,2.576613e-09,7.729840e-09
U-Net++,Count_MAE,281,2.113879,1.925267,-0.188612,-0.373843,-0.003559,13689.5,1.938619e-02,5.815857e-02
TransUNet,IoU,281,0.603296,0.623292,0.019996,0.011644,0.030142,11819.0,7.229151e-09,7.229151e-09
TransUNet,Dice,281,0.739851,0.756919,0.017069,0.009320,0.026827,11897.0,1.014468e-08,1.014468e-08
TransUNet,Object_F1,281,0.767775,0.776429,0.008654,-0.005147,0.022040,17314.5,3.677161e-01,3.677161e-01
TransUNet,Count_MAE,281,2.327402,2.266904,-0.060498,-0.249110,0.145996,17517.0,8.800840e-01,8.800840e-01
